,KO,name,gene_name
10628,K11138,RIF1; telomere-associated protein RIF1,RIF1
10629,K11139,"hlyE, clyA, sheA; hemolysin E","hlyE, clyA, sheA"
10630,K11140,"ANPEP, CD13; aminopeptidase N [EC:3.4.11.2]","ANPEP, CD13"
10631,K11141,"ENPEP, CD249; glutamyl aminopeptidase [EC:3.4.11.7]","ENPEP, CD249"
10632,K11142,LAP3; cytosol aminopeptidase [EC:3.4.11.1 3.4.11.5],LAP3
10633,K11143,DNAI2; dynein axonemal intermediate chain 2,DNAI2
10634,K11144,dnaI; primosomal protein DnaI,dnaI
10635,K11145,mrnC; mini-ribonuclease III [EC:3.1.26.-],mrnC
10636,K11146,DHRS3; short-chain dehydrogenase/reductase 3 [EC:1.1.1.300],DHRS3
10637,K11147,DHRS4; dehydrogenase/reductase SDR family member 4 [EC:1.1.-.-],DHRS4
10638,K11148,DHRS4L2; dehydrogenase/reductase SDR family member 4-like protein 2 [EC:1.1.-.-],DHRS4L2
10639,K11149,DHRS9; dehydrogenase/reductase SDR family member 9 [EC:1.1.-.-],DHRS9
10640,K11150,RDH8; retinol dehydrogenase 8 [EC:1.1.1.-],RDH8
10641,K11151,RDH10; retinol dehydrogenase 10 [EC:1.1.1.-],RDH10
10642,K11152,RDH11; retinol dehydrogenase 11 [EC:1.1.1.300],RDH11
10643,K11153,RDH12; retinol dehydrogenase 12 [EC:1.1.1.300],RDH12
10644,K11154,RDH16; retinol dehydrogenase 16 [EC:1.1.1.-],RDH16
10645,K11155,DGAT1; diacylglycerol O-acyltransferase 1 [EC:2.3.1.20 2.3.1.75 2.3.1.76],DGAT1
10646,K11156,"DGAT2L4, MFAT, AWAT2; diacylglycerol O-acyltransferase 2-like protein 4 [EC:2.3.1.75 2.3.1.76]","DGAT2L4, MFAT, AWAT2"
10647,K11157,PNPLA4; patatin-like phospholipase domain-containing protein 4 [EC:3.1.1.-],PNPLA4
10648,K11158,RPE65; retinoid isomerohydrolase / lutein isomerase [EC:3.1.1.64 5.3.3.22],RPE65
10649,K11159,K11159; carotenoid cleavage oxygenase [EC:1.13.11.-],K11159
10650,K11160,DGAT2; diacylglycerol O-acyltransferase 2 [EC:2.3.1.20 2.3.1.75],DGAT2
10651,K11161,RDH13; retinol dehydrogenase 13 [EC:1.1.1.300],RDH13
10652,K11162,RDH14; retinol dehydrogenase 14 [EC:1.1.1.-],RDH14
10653,K11163,DHRS1; dehydrogenase/reductase SDR family member 1 [EC:1.1.-.-],DHRS1
10654,K11164,DHRS2; dehydrogenase/reductase SDR family member 2 [EC:1.1.-.-],DHRS2
10655,K11165,DHRS7; dehydrogenase/reductase SDR family member 7 [EC:1.1.-.-],DHRS7
10656,K11166,DHRS7B; dehydrogenase/reductase SDR family member 7B [EC:1.1.-.-],DHRS7B
10657,K11167,DHRS7C; dehydrogenase/reductase SDR family member 7C [EC:1.1.-.-],DHRS7C
10658,K11168,DHRS12; dehydrogenase/reductase SDR family member 12 [EC:1.1.-.-],DHRS12
10659,K11169,DHRS13; dehydrogenase/reductase SDR family member 13 [EC:1.1.-.-],DHRS13
10660,K11170,DHRSX; dehydrogenase/reductase SDR family member X [EC:1.1.-.-],DHRSX
10661,K11171,"DGAT2L3, AWAT1; diacylglycerol O-acyltransferase 2-like protein 3 [EC:2.3.1.75]","DGAT2L3, AWAT1"
10662,K11172,DGAT2L6; diacylglycerol O-acyltransferase 2-like protein 6 [EC:2.3.1.-],DGAT2L6
10663,K11173,ADHFE1; hydroxyacid-oxoacid transhydrogenase [EC:1.1.99.24],ADHFE1
10664,K11175,purN; phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2],purN
10665,K11176,purO; IMP cyclohydrolase [EC:3.5.4.10],purO
10666,K11177,yagR; xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4],yagR
10667,K11178,yagS; xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4],yagS
10668,K11179,"tusE, dsrC; tRNA 2-thiouridine synthesizing protein E [EC:2.8.1.-]","tusE, dsrC"
10669,K11180,dsrA; dissimilatory sulfite reductase alpha subunit [EC:1.8.99.5],dsrA
10670,K11181,dsrB; dissimilatory sulfite reductase beta subunit [EC:1.8.99.5],dsrB
10671,K11182,"AOC1, ABP1; diamine oxidase [EC:1.4.3.22]","AOC1, ABP1"
10672,K11183,"fruB, fpr; multiphosphoryl transfer protein [EC:2.7.1.202]","fruB, fpr"
10673,K11184,"chr, crh; catabolite repression HPr-like protein","chr, crh"
10674,K11185,"TRYP; cytosolic tryparedoxin peroxidase, trypanosomatid typical 2-Cys peroxiredoxin [EC:1.11.1.-]",TRYP
10675,K11186,"MTRYP; mitochondrial tryparedoxin peroxidase, trypanosomatid typical 2-Cys peroxiredoxin [EC:1.11.1.-]",MTRYP
10676,K11187,PRDX5; peroxiredoxin 5 [EC:1.11.1.24],PRDX5
10677,K11188,PRDX6; peroxiredoxin 6 [EC:1.11.1.7 1.11.1.27 3.1.1.-],PRDX6
10678,K11192,murP; N-acetylmuramic acid PTS system EIICB component [EC:2.7.1.192],murP
10679,K11194,levD; fructose PTS system EIIA component [EC:2.7.1.202],levD
10680,K11195,levE; fructose PTS system EIIB component [EC:2.7.1.202],levE
10681,K11196,levF; fructose PTS system EIIC component,levF
10682,K11200,"mngA, hrsA; 2-O-A-mannosyl-D-glycerate PTS system EIIABC component [EC:2.7.1.195]","mngA, hrsA"
10683,K11201,frvA; fructose-like PTS system EIIA component [EC:2.7.1.-],frvA
10684,K11202,fryB; fructose-like PTS system EIIB component [EC:2.7.1.-],fryB
10685,K11203,"fryC, frvB; fructose-like PTS system EIIC or EIIBC or EIIABC component","fryC, frvB"
10686,K11204,GCLC; glutamate--cysteine ligase catalytic subunit [EC:6.3.2.2],GCLC
10687,K11205,GCLM; glutamate--cysteine ligase regulatory subunit,GCLM
10688,K11206,"NIT1, ybeM; deaminated glutathione amidase [EC:3.5.1.128]","NIT1, ybeM"
10689,K11207,TDPX; glutathione peroxidase-type tryparedoxin peroxidase [EC:1.11.1.-],TDPX
10690,K11208,yncG; GST-like protein,yncG
10691,K11209,"yghU, yfcG; GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]","yghU, yfcG"
10692,K11210,fosB; metallothiol transferase [EC:2.5.1.-],fosB
10693,K11211,kdkA; 3-deoxy-D-manno-octulosonic acid kinase [EC:2.7.1.166],kdkA
10694,K11212,cofD; LPPG:FO 2-phospho-L-lactate transferase [EC:2.7.8.28],cofD
10695,K11213,STE2; pheromone alpha factor receptor,STE2
10696,K11214,SHPK; sedoheptulokinase [EC:2.7.1.14],SHPK
10697,K11215,STE12; transcription factor STE12,STE12
10698,K11216,lsrK; autoinducer-2 kinase [EC:2.7.1.189],lsrK
10699,K11217,JAK1; Janus kinase 1 [EC:2.7.10.2],JAK1
10700,K11218,JAK3; Janus kinase 3 [EC:2.7.10.2],JAK3
10701,K11219,TYK2; non-receptor tyrosine-protein kinase TYK2 [EC:2.7.10.2],TYK2
10702,K11220,STAT1; signal transducer and activator of transcription 1,STAT1
10703,K11221,STAT2; signal transducer and activator of transcription 2,STAT2
10704,K11222,STAT4; signal transducer and activator of transcription 4,STAT4
10705,K11223,STAT5A; signal transducer and activator of transcription 5A,STAT5A
10706,K11224,STAT5B; signal transducer and activator of transcription 5B,STAT5B
10707,K11225,STAT6; signal transducer and activator of transcription 6,STAT6
10708,K11226,STE7; mitogen-activated protein kinase kinase [EC:2.7.12.2],STE7
10709,K11227,PBS2; mitogen-activated protein kinase kinase [EC:2.7.12.2],PBS2
10710,K11228,STE11; mitogen-activated protein kinase kinase kinase [EC:2.7.11.25],STE11
10711,K11229,BCK1; mitogen-activated protein kinase kinase kinase [EC:2.7.11.25],BCK1
10712,K11230,SSK2; mitogen-activated protein kinase kinase kinase [EC:2.7.11.25],SSK2
10713,K11231,"SLN1; osomolarity two-component system, sensor histidine kinase SLN1 [EC:2.7.13.3]",SLN1
10714,K11232,"YPD1; osomolarity two-component system, phosphorelay intermediate protein YPD1",YPD1
10715,K11233,"SSK1; osomolarity two-component system, response regulator SSK1",SSK1
10716,K11234,MFAL; mating pheromone alpha-factor,MFAL
10717,K11235,MFA; mating pheromone A-factor,MFA
10718,K11236,CDC24; cell division control protein 24,CDC24
10719,K11237,BEM1; bud emergence protein 1,BEM1
10720,K11238,BNI1; cytokinesis protein,BNI1
10721,K11239,STE5; pheromone-response scaffold protein,STE5
10722,K11240,MSG5; tyrosine-protein phosphatase MSG5 [EC:3.1.3.48],MSG5
10723,K11241,DIG1; down-regulator of invasive growth 1,DIG1
10724,K11242,DIG2; down-regulator of invasive growth 2,DIG2
10725,K11243,FUS1; nuclear fusion protein,FUS1
10726,K11244,WSC; cell wall integrity and stress response component,WSC
10727,K11245,"MID2, MTL1; mating pheromone-induced death protein 2","MID2, MTL1"
10728,K11246,SHO1; SHO1 osmosensor,SHO1
10729,K11247,SH3GL; endophilin-A,SH3GL
10730,K11248,SH3GLB1; endophilin-B1,SH3GLB1
10731,K11249,eamB; cysteine/O-acetylserine efflux protein,eamB
10732,K11250,leuE; leucine efflux protein,leuE
10733,K11251,H2A; histone H2A,H2A
10734,K11252,H2B; histone H2B,H2B
10735,K11253,H3; histone H3,H3
10736,K11254,H4; histone H4,H4
10737,K11255,"NCOA2, TIF2, KAT13C; nuclear receptor coactivator 2","NCOA2, TIF2, KAT13C"
10738,K11256,"NCOA3, ACTR, KAT13B; nuclear receptor coactivator 3 [EC:2.3.1.48]","NCOA3, ACTR, KAT13B"
10739,K11257,FUT11; galactoside 3-L-fucosyltransferase 11 [EC:2.4.1.-],FUT11
10740,K11258,ilvM; acetolactate synthase II small subunit [EC:2.2.1.6],ilvM
10741,K11259,"ILVBL, HACL2; 2-hydroxyacyl-CoA lyase [EC:4.1.2.-]","ILVBL, HACL2"
10742,K11260,fwdG; 4Fe-4S ferredoxin,fwdG
10743,K11261,"fwdE, fmdE; formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12]","fwdE, fmdE"
10744,K11262,ACACA; acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14 2.1.3.15],ACACA
10745,K11263,"bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]","bccA, pccA"
10746,K11264,"scpB, mmcD; methylmalonyl-CoA decarboxylase [EC:4.1.1.-]","scpB, mmcD"
10747,K11265,ADCY10; adenylate cyclase 10 [EC:4.6.1.1],ADCY10
10748,K11266,MAU2; MAternally affected uncoordination,MAU2
10749,K11267,PDS5; sister chromatid cohesion protein PDS5,PDS5
10750,K11268,"ESCO, ECO1; N-acetyltransferase [EC:2.3.1.-]","ESCO, ECO1"
10751,K11269,"CTF18, CHL12; chromosome transmission fidelity protein 18","CTF18, CHL12"
10752,K11270,CTF8; chromosome transmission fidelity protein 8,CTF8
10753,K11271,"DSCC1, DCC1; sister chromatid cohesion protein DCC1","DSCC1, DCC1"
10754,K11272,MRC1; mediator of replication checkpoint protein 1,MRC1
10755,K11273,"DDX11, CHL1, CTF1; chromosome transmission fidelity protein 1 [EC:3.6.4.13]","DDX11, CHL1, CTF1"
10756,K11274,"WDHD1, CTF4; chromosome transmission fidelity protein 4","WDHD1, CTF4"
10757,K11275,H1_5; histone H1/5,H1_5
10758,K11276,NPM1; nucleophosmin 1,NPM1
10759,K11277,NPM2; nucleophosmin 2,NPM2
10760,K11278,NPM3; nucleophosmin 3,NPM3
10761,K11279,"NAP1L1, NRP; nucleosome assembly protein 1-like 1","NAP1L1, NRP"
10762,K11280,"NAP1L2, BPX; nucleosome assembly protein 1-like 2","NAP1L2, BPX"
10763,K11281,"NAP1L3, BNAP; nucleosome assembly protein 1-like 3","NAP1L3, BNAP"
10764,K11282,"NAP1L4, NAP2; nucleosome assembly protein 1-like 4","NAP1L4, NAP2"
10765,K11283,NAP1L5; nucleosome assembly protein 1-like 5,NAP1L5
10766,K11284,TSPYL1; TSPY-like 1,TSPYL1
10767,K11285,"TSPYL2, CINAP, DENTT; TSPY-like 2","TSPYL2, CINAP, DENTT"
10768,K11286,TSPYL3; TSPY-like 3,TSPYL3
10769,K11287,TSPYL4; TSPY-like 4,TSPYL4
10770,K11288,TSPYL5; TSPY-like 5,TSPYL5
10771,K11289,TSPYL6; TSPY-like 6,TSPYL6
10772,K11290,"SET, TAF1, I2PP2A; template-activating factor I","SET, TAF1, I2PP2A"
10773,K11291,NASP; nuclear autoantigenic sperm protein,NASP
10774,K11292,"SUPT6H, SPT6; transcription elongation factor SPT6","SUPT6H, SPT6"
10775,K11293,"HIRA, HIR1; protein HIRA/HIR1","HIRA, HIR1"
10776,K11294,"NCL, NSR1; nucleolin","NCL, NSR1"
10777,K11295,HMGB2; high mobility group protein B2,HMGB2
10778,K11296,HMGB3; high mobility group protein B3,HMGB3
10779,K11297,HMGB4; high mobility group protein B4,HMGB4
10780,K11298,"HMGXB4, HMG2L1; HMG domain-containing protein 4","HMGXB4, HMG2L1"
10781,K11299,HMGN1; high-mobility group nucleosome-binding domain-containing protein 1,HMGN1
10782,K11300,HMGN2; high-mobility group nucleosome-binding domain-containing protein 2,HMGN2
10783,K11301,"HMGN3, TRIP7; high-mobility group nucleosome-binding domain-containing protein 3","HMGN3, TRIP7"
10784,K11302,HMGN4; high-mobility group nucleosome-binding domain-containing protein 4,HMGN4
10785,K11303,"HAT1, KAT1; histone acetyltransferase 1 [EC:2.3.1.48]","HAT1, KAT1"
10786,K11304,"TIP60, KAT5, ESA1; histone acetyltransferase HTATIP [EC:2.3.1.48]","TIP60, KAT5, ESA1"
10787,K11305,"MYST3, KAT6A; histone acetyltransferase MYST3 [EC:2.3.1.48]","MYST3, KAT6A"
10788,K11306,"MYST4, KAT6B; histone acetyltransferase MYST4 [EC:2.3.1.48]","MYST4, KAT6B"
10789,K11307,"MYST2, HBO1, KAT7; histone acetyltransferase MYST2 [EC:2.3.1.48]","MYST2, HBO1, KAT7"
10790,K11308,"MYST1, MOF, KAT8; histone acetyltransferase MYST1 [EC:2.3.1.48]","MYST1, MOF, KAT8"
10791,K11309,"RTT109, KAT11; regulator of Ty1 transposition protein 109","RTT109, KAT11"
10792,K11310,"GTF3C4, KAT12; general transcription factor 3C polypeptide 4 [EC:2.3.1.48]","GTF3C4, KAT12"
10793,K11311,"antC; anthranilate 1,2-dioxygenase reductase component [EC:1.18.1.-]",antC
10794,K11312,K11312; cupin 2 domain-containing protein,K11312
10795,K11313,"SUPT3H, SPT3; transcription initiation protein SPT3","SUPT3H, SPT3"
10796,K11314,"TADA2A, ADA2; transcriptional adapter 2-alpha","TADA2A, ADA2"
10797,K11315,"TADA3, ADA3, NGG1; transcriptional adapter 3","TADA3, ADA3, NGG1"
10798,K11316,SUPT7L; STAGA complex 65 subunit gamma,SUPT7L
10799,K11317,"TADA1, STAF42; transcriptional adapter 1","TADA1, STAF42"
10800,K11318,"ATXN7, SCA7; ataxin-7","ATXN7, SCA7"
10801,K11319,ING3; inhibitor of growth protein 3,ING3
10802,K11320,EP400; E1A-binding protein p400 [EC:5.6.2.-],EP400
10803,K11321,BRD8; bromodomain-containing protein 8,BRD8
10804,K11322,EPC; enhancer of polycomb-like protein,EPC
10805,K11323,JMJD6; histone arginine demethylase JMJD6 [EC:1.14.11.-],JMJD6
10806,K11324,"DMAP1, SWC4, EAF2; DNA methyltransferase 1-associated protein 1","DMAP1, SWC4, EAF2"
10807,K11325,K11325; L-cysteine/cystine lyase,K11325
10808,K11326,"nrsA, czcA; cation efflux system protein involved in nickel and cobalt tolerance","nrsA, czcA"
10809,K11327,"nrsB; membrane fusion protein, cation efflux system",nrsB
10810,K11328,"nrsS, rppB; two-component system, OmpR family, Ni(II)-sensor and/or redox sensor kinase NrsS [EC:2.7.13.3]","nrsS, rppB"
10811,K11329,"rpaB; two-component system, OmpR family, response regulator RpaB",rpaB
10812,K11330,"nrsR, rppA; two-component system, OmpR family, Ni(II)-responsive and/or redox-responsive regulator NrsR","nrsR, rppA"
10813,K11331,nrsC; cation efflux system protein involved in nickel and cobalt tolerance [EC:3.2.1.17],nrsC
10814,K11332,"nblR; two-component system, OmpR family, response regulator NblR",nblR
10815,K11333,"bchX; 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit X [EC:1.3.7.14 1.3.7.15]",bchX
10816,K11334,"bchY; 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Y [EC:1.3.7.14 1.3.7.15]",bchY
10817,K11335,"bchZ; 3,8-divinyl chlorophyllide a/chlorophyllide a reductase subunit Z [EC:1.3.7.14 1.3.7.15]",bchZ
10818,K11336,bchF; 3-vinyl bacteriochlorophyllide hydratase [EC:4.2.1.165],bchF
10819,K11337,bchC; bacteriochlorophyllide a dehydrogenase [EC:1.1.1.396],bchC
10820,K11338,"RUVBL2, RVB2, INO80J; RuvB-like protein 2 [EC:5.6.2.3]","RUVBL2, RVB2, INO80J"
10821,K11339,"MORF4L1, MRG15, EAF3; mortality factor 4-like protein 1","MORF4L1, MRG15, EAF3"
10822,K11340,"ACTL6A, INO80K; actin-like protein 6A","ACTL6A, INO80K"
10823,K11341,"YEATS4, GAS41, YAF9; YEATS domain-containing protein 4","YEATS4, GAS41, YAF9"
10824,K11342,"MORF4L2, MRGX; mortality factor 4-like protein 2","MORF4L2, MRGX"
10825,K11343,MRGBP; MRG-binding protein,MRGBP
10826,K11344,EAF6; chromatin modification-related protein EAF6,EAF6
10827,K11345,ING5; inhibitor of growth protein 5,ING5
10828,K11346,ING4; inhibitor of growth protein 4,ING4
10829,K11347,"JADE1, PHF17; protein Jade-1","JADE1, PHF17"
10830,K11348,BRPF1; bromodomain and PHD finger-containing protein 1,BRPF1
10831,K11349,"BRD1, BRPF2; bromodomain-containing protein 1","BRD1, BRPF2"
10832,K11350,BRPF3; bromodomain and PHD finger-containing protein 3,BRPF3
10833,K11351,NDUFB11; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 11,NDUFB11
10834,K11352,NDUFA12; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12,NDUFA12
10835,K11353,NDUFA13; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13,NDUFA13
10836,K11354,"cph1; two-component system, chemotaxis family, sensor kinase Cph1 [EC:2.7.13.3]",cph1
10837,K11355,"rcp1; two-component system, chemotaxis family, response regulator Rcp1",rcp1
10838,K11356,"cikA; two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]",cikA
10839,K11357,"divJ; two-component system, cell cycle sensor histidine kinase DivJ [EC:2.7.13.3]",divJ
10840,K11358,yhdR; aspartate aminotransferase [EC:2.6.1.1],yhdR
10841,K11359,SPT7; transcriptional activator SPT7,SPT7
10842,K11360,SPT8; transcriptional activator SPT8,SPT8
10843,K11361,"SPT20, ADA5; transcription factor SPT20","SPT20, ADA5"
10844,K11362,"HFI1, ADA1; transcriptional coactivator HFI1/ADA1","HFI1, ADA1"
10845,K11363,SGF11; SAGA-associated factor 11,SGF11
10846,K11364,SGF29; SAGA-associated factor 29,SGF29
10847,K11365,SGF73; SAGA-associated factor 73,SGF73
10848,K11366,"USP22_27_51, UBP8; ubiquitin carboxyl-terminal hydrolase 22/27/51 [EC:3.4.19.12]","USP22_27_51, UBP8"
10849,K11367,CHD1; chromodomain-helicase-DNA-binding protein 1 [EC:5.6.2.-],CHD1
10850,K11368,"ENY2, DC6, SUS1; enhancer of yellow 2 transcription factor","ENY2, DC6, SUS1"
10851,K11369,RTG2; retrograde regulation protein 2,RTG2
10852,K11370,AHC1; ADA HAT complex component 1,AHC1
10853,K11371,AHC2; ADA HAT complex component 2,AHC2
10854,K11372,HIF1; HAT1-interacting factor 1,HIF1
10855,K11373,"ELP1, IKI3, IKBKAP; elongator complex protein 1","ELP1, IKI3, IKBKAP"
10856,K11374,ELP2; elongator complex protein 2,ELP2
10857,K11375,ELP4; elongator complex protein 4,ELP4
10858,K11376,"ELP5, IKI1; elongator complex protein 5","ELP5, IKI1"
10859,K11377,ELP6; elongator complex protein 6,ELP6
10860,K11378,SAS3; histone acetyltransferase SAS3 [EC:2.3.1.48],SAS3
10861,K11379,YNG1; protein YNG1,YNG1
10862,K11380,NTO1; NuA3 HAT complex component NTO1,NTO1
10863,K11381,bkdA; 2-oxoisovalerate dehydrogenase E1 component [EC:1.2.4.4],bkdA
10864,K11382,"pgtP; MFS transporter, OPA family, phosphoglycerate transporter protein",pgtP
10865,K11383,"kinB; two-component system, NtrC family, sensor histidine kinase KinB [EC:2.7.13.3]",kinB
10866,K11384,"algB; two-component system, NtrC family, response regulator AlgB",algB
10867,K11385,embA; arabinosyltransferase A [EC:2.4.2.-],embA
10868,K11386,embB; arabinosyltransferase B [EC:2.4.2.-],embB
10869,K11387,embC; arabinosyltransferase C [EC:2.4.2.-],embC
10870,K11389,gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6],gapor
10871,K11390,CLYBL; citrate lyase subunit beta-like protein [EC:4.1.-.-],CLYBL
10872,K11391,rlmG; 23S rRNA (guanine1835-N2)-methyltransferase [EC:2.1.1.174],rlmG
10873,K11392,rsmF; 16S rRNA (cytosine1407-C5)-methyltransferase [EC:2.1.1.178],rsmF
10874,K11393,"METTL16, METT10D; U6 snRNA m6A methyltransferase [EC:2.1.1.346]","METTL16, METT10D"
10875,K11394,PRODH2; hydroxyproline dehydrogenase [EC:1.5.5.3],PRODH2
10876,K11395,kdpgA; 2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55],kdpgA
10877,K11396,"YNG2, EAF4; chromatin modification-related protein YNG2","YNG2, EAF4"
10878,K11397,"EAF1, VID21; chromatin modification-related protein VID21","EAF1, VID21"
10879,K11398,EAF5; chromatin modification-related protein EAF5,EAF5
10880,K11399,EAF7; chromatin modification-related protein EAF7,EAF7
10881,K11400,ARP4; actin-related protein 4,ARP4
10882,K11401,SAS2; histone acetyltransferase SAS2 [EC:2.3.1.48],SAS2
10883,K11402,SAS4; something about silencing protein 4,SAS4
10884,K11403,SAS5; something about silencing protein 5,SAS5
10885,K11404,HDAC3; histone deacetylase 3 [EC:3.5.1.98],HDAC3
10886,K11405,HDAC8; histone deacetylase 8 [EC:3.5.1.98],HDAC8
10887,K11406,HDAC4_5; histone deacetylase 4/5 [EC:3.5.1.98],HDAC4_5
10888,K11407,HDAC6; histone deacetylase 6 [EC:3.5.1.98],HDAC6
10889,K11408,HDAC7; histone deacetylase 7 [EC:3.5.1.98],HDAC7
10890,K11409,HDAC9; histone deacetylase 9 [EC:3.5.1.98],HDAC9
10891,K11410,acdH; short-chain 2-methylacyl-CoA dehydrogenase [EC:1.3.8.5],acdH
10892,K11411,"SIRT1, SIR2L1; NAD+-dependent protein deacetylase sirtuin 1 [EC:2.3.1.286]","SIRT1, SIR2L1"
10893,K11412,"SIRT2, SIR2L2; NAD+-dependent protein deacetylase sirtuin 2 [EC:2.3.1.286]","SIRT2, SIR2L2"
10894,K11413,"SIRT3, SIR2L3; NAD+-dependent protein deacetylase sirtuin 3 [EC:2.3.1.286]","SIRT3, SIR2L3"
10895,K11414,"SIRT4, SIR2L4; NAD+-dependent protein deacetylase sirtuin 4 [EC:2.3.1.286]","SIRT4, SIR2L4"
10896,K11415,"SIRT5, SIR2L5; NAD+-dependent protein deacetylase sirtuin 5 [EC:2.3.1.286]","SIRT5, SIR2L5"
10897,K11416,"SIRT6, SIR2L6; NAD+-dependent protein deacetylase sirtuin 6 [EC:2.3.1.286]","SIRT6, SIR2L6"
10898,K11417,"SIRT7, SIR2L7; NAD+-dependent protein deacetylase sirtuin 7 [EC:2.3.1.286]","SIRT7, SIR2L7"
10899,K11418,HDAC11; histone deacetylase 11 [EC:3.5.1.98],HDAC11
10900,K11419,"SUV39H, CLR4; [histone H3]-lysine9 N-trimethyltransferase SUV39H [EC:2.1.1.355]","SUV39H, CLR4"
10901,K11420,EHMT; [histone H3]-lysine9 N-trimethyltransferase EHMT [EC:2.1.1.355],EHMT
10902,K11421,"SETDB1; [histone H3]-N6,N6-dimethyl-lysine9 N-methyltransferase [EC:2.1.1.366]",SETDB1
10903,K11422,"SETD1, SET1; [histone H3]-lysine4 N-trimethyltransferase SETD1 [EC:2.1.1.354]","SETD1, SET1"
10904,K11423,SETD2; [histone H3]-lysine36 N-trimethyltransferase [EC:2.1.1.359],SETD2
10905,K11424,"WHSC1, MMSET, NSD2; [histone H3]-lysine36 N-dimethyltransferase NSD2 [EC:2.1.1.357]","WHSC1, MMSET, NSD2"
10906,K11425,"WHSC1L1, NSD3; [histone H3]-lysine4 N-dimethyltransferase / [histone H3]-lysine27 N-dimethyltransferase [EC:2.1.1.370 2.1.1.371]","WHSC1L1, NSD3"
10907,K11426,SMYD; [histone H3]-lysine4/36 N-trimethyltransferase SMYD [EC:2.1.1.354 2.1.1.357],SMYD
10908,K11427,"DOT1L, DOT1; [histone H3]-lysine79 N-trimethyltransferase [EC:2.1.1.360]","DOT1L, DOT1"
10909,K11428,SETD8; [histone H4]-lysine20 N-methyltransferase SETD8 [EC:2.1.1.361],SETD8
10910,K11429,SUV420H; [histone H4]-N-methyl-L-lysine20 N-methyltransferase [EC:2.1.1.362],SUV420H
10911,K11430,EZH2; [histone H3]-lysine27 N-trimethyltransferase EZH2 [EC:2.1.1.356],EZH2
10912,K11431,SETD7; [histone H3]-lysine4 N-methyltransferase [EC:2.1.1.364],SETD7
10913,K11432,"PRDM2, RIZ; [histone H3]-lysine9 N-trimethyltransferase PRDM2 [EC:2.1.1.355]","PRDM2, RIZ"
10914,K11433,SETMAR; [histone H3]-lysine36 N-dimethyltransferase SETMAR [EC:2.1.1.357],SETMAR
10915,K11434,PRMT1; type I protein arginine methyltransferase [EC:2.1.1.319],PRMT1
10916,K11435,PRMT2; type I protein arginine methyltransferase [EC:2.1.1.319],PRMT2
10917,K11436,PRMT3; type I protein arginine methyltransferase [EC:2.1.1.319],PRMT3
10918,K11437,PRMT6; type I protein arginine methyltransferase [EC:2.1.1.319],PRMT6
10919,K11438,PRMT7; type III protein arginine methyltransferase [EC:2.1.1.321],PRMT7
10920,K11439,PRMT8; type I protein arginine methyltransferase [EC:2.1.1.319],PRMT8
10921,K11440,gbsB; choline dehydrogenase [EC:1.1.1.1],gbsB
10922,K11441,kguK; dehydrogluconokinase [EC:2.7.1.13],kguK
10923,K11442,K11442; putative uridylyltransferase [EC:2.7.7.-],K11442
10924,K11443,"divK; two-component system, cell cycle response regulator DivK",divK
10925,K11444,"wspR; two-component system, chemotaxis family, response regulator WspR [EC:2.7.7.65]",wspR
10926,K11445,"KDM7A, JHDM1D; [histone H3]-dimethyl-L-lysine9 demethylase [EC:1.14.11.65 1.14.11.-]","KDM7A, JHDM1D"
10927,K11446,"KDM5, JARID1; [histone H3]-trimethyl-L-lysine4 demethylase [EC:1.14.11.67]","KDM5, JARID1"
10928,K11447,"UTX, KDM6A; lysine-specific demethylase 6A [EC:1.14.11.68]","UTX, KDM6A"
10929,K11448,"KDM6B, JMJD3; lysine-specific demethylase 6B [EC:1.14.11.68]","KDM6B, JMJD3"
10930,K11449,JMJD1C; jumonji domain-containing protein 1C [EC:1.14.11.-],JMJD1C
10931,K11450,"KDM1A, AOF2, LSD1; [histone H3]-N6,N6-dimethyl-L-lysine4 FAD-dependent demethylase [EC:1.14.99.66]","KDM1A, AOF2, LSD1"
10932,K11451,CBX2; chromobox protein 2,CBX2
10933,K11452,"CBX4, PC2; E3 SUMO-protein ligase CBX4 [EC:2.3.2.-]","CBX4, PC2"
10934,K11453,CBX6; chromobox protein 6,CBX6
10935,K11454,CBX7; chromobox protein 7,CBX7
