KO,GCA_014381335.1,GCA_014382125.1,GCA_014382905.1,GCA_014384155.1,GCA_014384425.1,GCA_014382765.1,GCA_014384225.1,GCA_014382815.1,GCA_014382535.1,GCA_014383965.1,GCA_014383445.1,GCA_014382665.1,GCA_014381695.1,GCA_014384645.1,GCA_014382705.1,GCA_014381205.1,GCA_014384125.1,GCA_014383645.1,GCA_014381305.1,GCA_014382305.1,GCA_014381665.1,GCA_014382805.1,GCA_014383745.1,GCA_014382015.1,GCA_014384505.1,GCA_014383535.1,GCA_014384445.1,GCA_014384575.1,GCA_014381725.1,GCA_014381755.1,GCA_014381215.1,GCA_014382155.1,GCA_014383415.1,GCA_014382485.1,GCA_014383795.1,GCA_014382825.1,GCA_014384265.1,GCA_014451015.1,GCA_014384375.1,GCA_014381325.1,GCA_014383625.1,GCA_014382975.1,GCA_014383905.1,GCA_014383845.1,GCA_014381785.1,GCA_014384285.1,GCA_014384055.1,GCA_014382085.1,GCA_014382565.1,GCA_014383995.1,GCA_014381645.1,GCA_014384325.1,GCA_014383695.1,GCA_014383885.1,GCA_014384245.1,GCA_014383215.1,GCA_014382685.1,GCA_014382375.1,GCA_014381985.1,GCA_014383485.1,GCA_014382365.1,GCA_014382225.1,GCA_014382385.1,GCA_014383605.1,GCA_014381505.1,GCA_014382185.1,GCA_014384345.1,GCA_014382285.1,GCA_014383785.1,GCA_014382065.1,GCA_014384515.1,GCA_014383305.1,GCA_014383455.1,GCA_014384455.1,GCA_014381585.1,GCA_014383265.1,GCA_014384365.1,GCA_014383985.1,GCA_014382195.1,GCA_014384665.1,GCA_014382695.1,GCA_014381835.1,GCA_014384465.1,GCA_014383555.1,GCA_014384105.1,GCA_014383725.1,GCA_014381895.1,GCA_014381415.1,GCA_014381795.1,GCA_014382345.1,GCA_014382255.1,GCA_014384145.1,GCA_014381285.1,GCA_014381995.1,GCA_014382865.1,GCA_014382775.1,GCA_014383685.1,GCA_014383515.1,GCA_014381395.1,GCA_014383505.1,GCA_014382045.1,GCA_014383935.1,GCA_014382465.1,GCA_014384025.1,GCA_014383825.1,GCA_014381945.1,GCA_014381885.1,GCA_014381855.1,GCA_014383835.1,GCA_014381465.1,GCA_014384205.1,GCA_014382915.1,GCA_014382585.1,GCA_014383355.1,GCA_014382605.1,GCA_014384625.1,GCA_014381825.1,GCA_014381265.1,GCA_014381405.1,GCA_014384565.1,GCA_014384185.1,GCA_014382875.1,GCA_014382145.1,GCA_014381685.1,GCA_014381605.1,GCA_014382415.1,GCA_014383915.1,GCA_014384295.1,GCA_014382445.1,GCA_014381225.1,GCA_014384685.1,GCA_014382715.1,GCA_014382495.1,GCA_014382515.1,GCA_014384545.1,GCA_014383635.1,GCA_014381955.1,GCA_014381295.1,GCA_014382075.1,GCA_014381385.1,GCA_014384675.1,GCA_014381745.1,GCA_014384865.1,GCA_014381555.1,GCA_014381495.1,GCA_014381625.1,GCA_014383385.1,GCA_014382595.1,GCA_014382645.1,GCA_014384065.1,GCA_014383735.1,GCA_014381545.1,GCA_014384555.1,GCA_014381485.1,GCA_014383345.1,GCA_014381925.1,GCA_014384355.1,GCA_014384045.1,GCA_014382295.1,GCA_014382245.1
K03892,,,4.0,3.0,,,,3.0,1.0,,,2.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,5.0,,,,1.0,,1.0,1.0,,,2.0,1.0,,,,,,,4.0,,,,,,1.0,1.0,5.0,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,1.0,,,,,4.0,2.0,,,1.0,,2.0,,1.0,1.0,2.0,,,,,,,,,,1.0,2.0,1.0,,,,,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,2.0,1.0
K03926,,,1.0,,,2.0,,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,1.0,,1.0,,,,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,3.0,,1.0,,,,,,,2.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,,2.0,,,,,,1.0,,,,1.0,,1.0,,,,1.0,
K03928,,,1.0,,,,,,2.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,1.0,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,
K03969,,,1.0,,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,
K03978,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,2.0,,,,2.0,,1.0,,,,,,1.0,,,1.0,,1.0,,2.0,,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,,5.0,,,,,1.0,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,2.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,1.0,1.0
K03980,,,1.0,,,,1.0,,2.0,,2.0,2.0,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,1.0,,1.0,1.0,,,1.0,,2.0,1.0,,,,1.0,,1.0,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,,2.0,1.0,,1.0,1.0,,5.0,1.0,,,,1.0,,,,1.0,1.0,1.0,,2.0,,,,,,1.0,1.0,,,,,2.0,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,2.0,,,,,,,1.0,,,3.0,2.0,,1.0,,,,1.0,1.0,,,,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,1.0,1.0
K04019,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
K04024,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K04062,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,2.0,,,,,,,,,,,1.0,,,,1.0,2.0
K04084,,,1.0,,,,,,,,1.0,2.0,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,
K04085,,,6.0,1.0,1.0,2.0,,,,,2.0,2.0,,1.0,,,1.0,,,4.0,,,,,,,1.0,,1.0,1.0,,3.0,,1.0,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,2.0,1.0,,2.0,,,2.0,,,1.0,2.0,,2.0,1.0,,1.0,1.0,,,,,,,,3.0,,3.0,1.0,1.0,1.0,,,,1.0,2.0,3.0,,1.0,2.0,,2.0,,,,2.0,,1.0,,,1.0,6.0,,1.0,,,,,2.0,,,3.0,1.0,,1.0,,,,2.0,1.0,,2.0,1.0,,1.0,,1.0,1.0,2.0,1.0,2.0,1.0,,,,2.0,,2.0,,2.0,,1.0,,,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0
K04087,,,1.0,,,,,1.0,,,1.0,1.0,,,2.0,,1.0,,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,2.0,,,1.0,,1.0,,,,1.0,,,,,2.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,2.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,1.0,,,2.0,2.0,,1.0,1.0,,,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,,1.0,1.0,,2.0,1.0,,1.0,,,,,,1.0,,1.0,,1.0,,,1.0,1.0
K04088,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,2.0,,1.0,,,,1.0,2.0,,1.0,,,,,1.0,1.0,,1.0,,1.0,,,1.0,2.0,,2.0,,2.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,2.0,,,,,,,1.0,,1.0,,,,1.0,,,,,1.0,,1.0,,,3.0,2.0,,1.0,1.0,,,,1.0,,,,,1.0,,,1.0,,1.0,,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,1.0,,2.0,,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,1.0
K04113,,,1.0,,,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,1.0,,,,,,
K04114,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
K04115,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
K04486,,,1.0,,,,,,,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,1.0,,1.0,
K04518,,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,,,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,5.0,,,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,1.0,,,1.0,,,3.0,,2.0,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0
K04562,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,2.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,2.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,3.0,
K04568,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
K04653,,,1.0,,,2.0,,2.0,1.0,,2.0,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,1.0,,2.0,1.0,1.0,,,,,,,2.0,1.0,,,1.0,,,1.0,,,1.0,1.0,,1.0,,,1.0,3.0,1.0,1.0,,,,,,,,,,,1.0,2.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,2.0,,,1.0,1.0,,,,1.0,,,,2.0,,4.0,,2.0,,,,,,,1.0,,1.0,,,1.0,,,
K04656,,,1.0,,,1.0,,2.0,1.0,,2.0,1.0,,,,,,,,2.0,,1.0,,1.0,,,,,1.0,1.0,,2.0,,1.0,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,1.0,,2.0,1.0,1.0,,,,,,,2.0,1.0,,,1.0,,,2.0,,,,1.0,,1.0,1.0,,,1.0,2.0,1.0,,,,1.0,,,,,,,1.0,2.0,1.0,,,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,2.0,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,2.0,,,,,,,1.0,,1.0,,,1.0,,,
K04720,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,
K04751,,,1.0,,,1.0,,,,,2.0,1.0,1.0,,2.0,1.0,,,,,2.0,,,1.0,,,,,,,,3.0,,2.0,,2.0,,4.0,,5.0,,,,,2.0,,1.0,,,,1.0,,,,,1.0,,2.0,2.0,,2.0,,,,2.0,1.0,2.0,2.0,,3.0,,,,,1.0,,,,1.0,,2.0,,,,,,2.0,1.0,1.0,3.0,,,,,1.0,1.0,,,1.0,,1.0,,,1.0,2.0,1.0,1.0,,,,1.0,,3.0,,,1.0,3.0,,,1.0,,3.0,,1.0,2.0,,,,,,,1.0,,2.0,,,,1.0,,,2.0,1.0,5.0,,1.0,1.0,,,2.0,,,1.0,,,,1.0,,,2.0,1.0
K04754,,,1.0,,,1.0,,,,1.0,1.0,2.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,2.0,1.0,,1.0,,,,1.0,,1.0,1.0,,4.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,3.0,,,1.0,,,,,,,,,,,,,1.0,
K04768,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K05299,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K05337,,,1.0,,,1.0,1.0,,,1.0,4.0,1.0,,,1.0,,,,1.0,,,1.0,,1.0,,,1.0,,,,,3.0,,,,,,1.0,2.0,,,1.0,,,,1.0,,1.0,,,1.0,,1.0,,,2.0,,,,,,,,,2.0,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,2.0,,,,1.0,1.0,2.0,,3.0,,,,1.0,,,,,1.0,2.0,4.0,2.0,,,1.0,1.0,,1.0,,,,,,,,,,,,2.0,,,,,,,3.0,,1.0,1.0,,,1.0,1.0,,,5.0,2.0,,,2.0,,,,,,1.0,1.0,,1.0,,1.0,,,3.0
K05566,,,1.0,,,1.0,,,,,2.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,2.0,,,,,,,1.0,,,2.0,,1.0,,,,,,,3.0,,,2.0,2.0,,,,,,,,,1.0,2.0,,,1.0,1.0,,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,3.0,,,,,2.0,,,1.0,,,1.0,,,,1.0,1.0,3.0,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,1.0,1.0
K05567,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0
K05568,,,2.0,,,1.0,,,,2.0,3.0,,,3.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,3.0,,,,,,1.0,4.0,,,1.0,,1.0,,,,,,,2.0,,,2.0,2.0,1.0,,,,,2.0,,,2.0,2.0,,,1.0,1.0,,,,1.0,,,,,1.0,4.0,,,,,,,,,,,,4.0,,,,,3.0,,,,,,,,,,2.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0
K05589,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,
K05601,,,1.0,,,2.0,,,,,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,1.0,,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
K05772,,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
K05773,,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,2.0,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
K05896,,,1.0,,1.0,,,1.0,1.0,,,1.0,,,2.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,5.0,,,,2.0,,,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,,2.0,1.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,2.0,,,,1.0,1.0,1.0,,1.0,,,,1.0
K05942,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
K05967,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,1.0,
K05979,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,
K06016,,,1.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
K06020,,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,2.0,,,,2.0,,,1.0,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,2.0,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,
K06045,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,
K06173,,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,1.0,2.0,,1.0,,1.0,,,,1.0,,1.0,,,,1.0,,,,1.0,,,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,2.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,,1.0,,1.0,1.0,,,,1.0,,,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,,1.0,,,,,1.0,
K06192,,,1.0,,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
K06200,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,1.0,,,,2.0,,,,,1.0,,,,1.0,,,,,2.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,2.0,1.0,,1.0,,2.0,1.0,,,,,1.0,,1.0,,,,1.0
K06207,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,2.0,1.0,1.0,,1.0,,,,,1.0,1.0,,1.0,,1.0,1.0,3.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,,4.0,,,,,1.0,,,,,,1.0,,1.0,,2.0,1.0,,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,3.0,1.0,1.0,,,1.0,,1.0,,,,,2.0,,,2.0,,,1.0,1.0,1.0,3.0,1.0,,,,1.0,1.0,,,,,,,1.0,,,1.0,1.0
